run_key,timestamp,source,puzzle_id,puzzle_file,title,model,experiment,thinking,include_narrative,include_sizes,image_source,renderer,error,skipped,parsed,parse_needed_repair,truncated,solved,cells,correct,cell_acc,shape_acc,color_acc,color_pairs,fg_recall,fg_truth,bg_fp,bg_fn,missing_cells,n_frames_expected,n_frames_returned,frames_exact,frames_with_correct_dims,positions_exact_match,order_preserved,missing_visible_frames,hallucinated_masked_frames,extra_frames,answered_all_masked,answered_extra_positions,latency_ms,content_chars,reasoning_chars
Ballerina 4|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:25:21.982994,python-sweep,Ballerina 4,narc_puzzle_Ballerina 4_2026-08-17.json,🧩Ballerina 4,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,14,56.0,56.0,,0,0.0,6,5,6,0,1,1,0,1,,,,,,True,,429,81,0
Ballerina 4|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:25:25.422400,python-sweep,Ballerina 4,narc_puzzle_Ballerina 4_2026-08-17.json,🧩Ballerina 4,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,100,100,100.0,100.0,100.0,23,100.0,23,0,0,0,4,4,4,4,True,True,,,,,,1098,776,0
Ballerina 4|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:25:29.527168,python-sweep,Ballerina 4,narc_puzzle_Ballerina 4_2026-08-17.json,🧩Ballerina 4,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,14,56.0,56.0,,0,0.0,6,5,6,0,1,1,0,1,,,,,,True,,427,105,0
CLCockatiels 3|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:26:51.414878,python-sweep,CLCockatiels 3,narc_puzzle_CLCockatiels 3_2026-08-17.json,🧩Cockatiels 3,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,162,152,93.83,96.3,94.52,73,100.0,73,6,0,0,2,2,1,2,,,,,,True,,1357,685,0
CLCockatiels 3|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:26:55.777840,python-sweep,CLCockatiels 3,narc_puzzle_CLCockatiels 3_2026-08-17.json,🧩Cockatiels 3,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,162,160,98.77,98.77,100.0,76,98.7,77,1,1,0,2,2,1,2,True,True,,,,,,1420,829,0
CLCockatiels 3|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:27:00.204223,python-sweep,CLCockatiels 3,narc_puzzle_CLCockatiels 3_2026-08-17.json,🧩Cockatiels 3,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,162,81,50.0,50.0,100.0,36,49.32,73,0,37,81,2,1,1,1,,,,,,False,,851,389,0
narc8|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:27:04.064792,python-sweep,narc8,narc_puzzle_narc8_2026-08-17.json,🧩Energy,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,True,25,25,100.0,100.0,100.0,9,100.0,9,0,0,0,1,1,1,1,,,,,,True,,523,153,0
narc8|qwen/qwen3.6-35b|nothink|narr|sizes|reconstruct,2026-08-17T10:27:07.594517,python-sweep,narc8,narc_puzzle_narc8_2026-08-17.json,🧩Energy,qwen/qwen3.6-35b,reconstruct,False,True,True,folder,python-v1,,False,True,False,False,,75,59,78.67,78.67,100.0,27,77.14,35,8,8,0,3,3,1,1,True,True,,,,,,1012,639,0
narc8|qwen/qwen3.6-35b|nothink|narr|sizes|recon_solve,2026-08-17T10:27:11.611041,python-sweep,narc8,narc_puzzle_narc8_2026-08-17.json,🧩Energy,qwen/qwen3.6-35b,recon_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,17,68.0,68.0,100.0,5,55.56,9,4,4,0,1,1,0,1,,,,,,True,,450,105,0
sub_006|qwen/qwen3.6-35b|nothink|narr|sizes|blind_solve,2026-08-17T10:27:15.074982,python-sweep,sub_006,narc_puzzle_sub_006_2026-08-17.json,🧩Farm,qwen/qwen3.6-35b,blind_solve,False,True,True,folder,python-v1,,False,True,False,False,False,25,12,48.0,48.0,,0,0.0,13,0,13,0,1,1,0,1,,,,,,True,,539,81,0
